Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
8 подруг Оушена;Гэри Росс;США;криминал, комедия, боевик;2017;661;7.7
Большое путешествие вглубь океанов 3D: Возвращение;Ник Стрингер;Германия / Великобритания / Австрия;документальный;2009;662;7.7
Легенда острова Двид;Анарио Мамедов;Россия;приключения, семейный;2010;663;7.7
Заложница 2;Оливье Мегатон;Франция;триллер, драма, криминал, боевик;2012;664;7.7
Грех;Андрей Кончаловский;Россия / Италия;драма, биография, исторический;2018;665;7.7
Ангелы и демоны;Рон Ховард;США;криминал, мистика, драма, триллер;2009;666;7.7
Один дома;Крис Коламбус;США;криминал, комедия, семейный;1990;667;7.7
Самый пьяный округ в мире;Джон Хиллкоут;США;драма, криминал;2012;668;7.7
Долгая дорога домой;Анатолий Пасичник;Россия;триллер, драма, мистика;2017;669;7.7
Другой мир: Пробуждение;Манс Морлинд;США;фантастика, ужасы, боевик;2012;670;7.7
Хищник;Джон МакТирнан;США;боевик, ужасы, триллер, фантастика;1987;671;7.7
Звездный путь;Джей Джей Абрамс;США;боевик, фантастика, драма;2009;672;7.7
Другие;Алехандро Аменабар;Испания / Франция / США;ужасы, фантастика, мистика, триллер, драма;2001;673;7.7
Санктум;Алистер Грирсон;США;триллер, драма, приключения;2011;674;7.7
Паркер;Тэйлор Хэкфорд;США;криминал, триллер;2013;675;7.7
Блэйд;Стивен Норрингтон;США;ужасы, триллер, боевик;1998;676;7.7
Анна Каренина;Сергей Соловьев;Россия;драма;2008;677;7.7
LOL (ржунимагу);Лиза Азуэлос;Франция;комедия;2008;678;7.7
Семейка Аддамс;Грег Тирнан;США;анимация, фэнтези;2019;679;7.7
Омерзительная восьмерка;Квентин Тарантино;США;комедия, вестерн, триллер;2015;680;7.7
Падение Лондона;Бабак Наджафи;США / Великобритания;криминал, боевик, триллер;2015;681;7.7
Пара из будущего;Алексей Нужный;Россия;комедия, мелодрама, фантастика;2021;682;7.7
Ледокол;Николай Хомерики;Россия;драма;2016;683;7.7
Волк с Уолл-стрит;Мартин Скорсезе;США;драма, криминал;2013;684;7.7
Человек, который изменил все;Беннет Миллер;США;драма;2011;685;7.7
Обитель зла: Последняя глава;Пол У. С. Андерсон;Германия / Австралия / Канада / Франция;триллер, боевик, ужасы, фантастика;2016;686;7.7
История игрушек 4;Джош Кули;США;комедия, фэнтези, детский, семейный;2019;687;7.7
